condition,description
cholesteatoma,"Cholesteatoma is a destructive and expanding growth consisting of keratinizing squamous epithelium in the middle ear and/or mastoid process. Cholesteatomas are not cancerous as the name may suggest, but can cause significant problems because of their erosive and expansile properties. This can result in the destruction of the bones of the middle ear (ossicles), as well as growth through the base of the skull into the brain. They often become infected and can result in chronically draining ears. Treatment almost always consists of surgical removal."
volvulus,"A volvulus is when a loop of intestine twists around itself and the mesentery that supports it, resulting in a bowel obstruction. Symptoms include abdominal pain, abdominal bloating, vomiting, constipation, and bloody stool. Onset of symptoms may be rapid or more gradual. The mesentery may become so tightly twisted that blood flow to part of the intestine is cut off, resulting in ischemic bowel. In this situation there may be fever or significant pain when the abdomen is touched."
injury to the finger,"A mallet finger, also known as hammer finger or PLF finger or Hannan finger, is an extensor tendon injury at the farthest away finger joint. This results in the inability to extend the finger tip without pushing it. There is generally pain and bruising at the back side of the farthest away finger joint."
poisoning due to analgesics,"A suicide method is any means by which a person may choose to end their life. Suicide attempts do not always result in death, and a non-fatal suicide attempt can leave the person with serious physical injuries, long-term health problems, or brain damage."
atrial fibrillation,"Atrial fibrillation is an abnormal heart rhythm (arrhythmia) characterized by rapid and irregular beating of the atrial chambers of the heart. It often begins as short periods of abnormal beating, which become longer or continuous over time. It may also start as other forms of arrhythmia such as atrial flutter that then transform into AF."
pinworm infection,"Pinworm infection, also known as enterobiasis, is a human parasitic disease caused by the pinworm, Enterobius vermicularis. The most common symptom is pruritus ani, or itching in the anal area. The period of time from swallowing eggs to the appearance of new eggs around the anus is 4 to 8 weeks. Some people who are infected do not have symptoms."
urethral valves,"Posterior urethral valve (PUV) disorder is an obstructive developmental anomaly in the urethra and genitourinary system of male newborns. A posterior urethral valve is an obstructing membrane in the posterior male urethra as a result of abnormal in utero development. It is the most common cause of bladder outlet obstruction in male newborns. The disorder varies in degree, with mild cases presenting late due to milder symptoms. More severe cases can have renal and respiratory failure from lung underdevelopment as result of low amniotic fluid volumes, requiring intensive care and close monitoring. It occurs in about one in 8,000 babies."
open wound of the neck,"This is a shortened version of the seventeenth chapter of the ICD-9: Diseases of the Digestive System. It covers ICD codes 800 to 999. The full chapter can be found on pages 473 to 546 of Volume 1, which contains all (sub)categories of the ICD-9. Volume 2 is an alphabetical index of Volume 1. Both volumes can be downloaded for free from the website of the World Health Organization."
achalasia,"Esophageal achalasia, often referred to simply as achalasia, is a failure of smooth muscle fibers to relax, which can cause the lower esophageal sphincter to remain closed. Without a modifier, ""achalasia"" usually refers to achalasia of the esophagus. Achalasia can happen at various points along the gastrointestinal tract; achalasia of the rectum, for instance, may occur in Hirschsprung's disease. The lower esophageal sphincter is a muscle between the esophagus and stomach that opens when food comes in. It closes to avoid stomach acids from coming back up. A fully understood cause to the disease is unknown, as are factors that increase the risk of its appearance. Suggestions of a genetically transmittable form of achalasia exist, but this is neither fully understood, nor agreed upon."
conductive hearing loss,"Conductive hearing loss (CHL) occurs when there is a problem transferring sound waves anywhere along the pathway through the outer ear, tympanic membrane (eardrum), or middle ear (ossicles). If a conductive hearing loss occurs in conjunction with a sensorineural hearing loss, it is referred to as a mixed hearing loss."
